2025-12-16 22:08:04,603	WARNING deprecation.py:50 -- DeprecationWarning: `remote_workers()` has been deprecated. Use `Use either the `foreach_worker()`, `foreach_worker_with_id()`, or `foreach_worker_async()` APIs of `WorkerSet`, which all handle fault tolerance.` instead. This will raise an error in the future!
[NONE] Epoch  31 | Reward=60.21 | Samples=2000 | Total=0.34s (Rollout=0.32s, Train=0.02s) | Thrpt=5961.2/s | Compile=None | Swap=None | Infer=0.041s | Env=0.279s
[NONE] Epoch  32 | Reward=66.30 | Samples=2000 | Total=0.41s (Rollout=0.40s, Train=0.01s) | Thrpt=4869.6/s | Compile=None | Swap=None | Infer=0.041s | Env=0.357s
[NONE] Epoch  33 | Reward=70.00 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9048.9/s | Compile=None | Swap=None | Infer=0.028s | Env=0.181s
[NONE] Epoch  34 | Reward=66.61 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9429.6/s | Compile=None | Swap=None | Infer=0.028s | Env=0.173s
[NONE] Epoch  35 | Reward=70.04 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9494.6/s | Compile=None | Swap=None | Infer=0.027s | Env=0.172s
[NONE] Epoch  36 | Reward=96.48 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9646.7/s | Compile=None | Swap=None | Infer=0.027s | Env=0.170s
[NONE] Epoch  37 | Reward=77.81 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9671.6/s | Compile=None | Swap=None | Infer=0.027s | Env=0.169s
[NONE] Epoch  38 | Reward=74.44 | Samples=2000 | Total=0.27s (Rollout=0.26s, Train=0.01s) | Thrpt=7434.3/s | Compile=None | Swap=None | Infer=0.033s | Env=0.223s
[NONE] Epoch  39 | Reward=85.25 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9271.3/s | Compile=None | Swap=None | Infer=0.028s | Env=0.177s
[NONE] Epoch  40 | Reward=83.83 | Samples=2000 | Total=0.22s (Rollout=0.20s, Train=0.01s) | Thrpt=9291.3/s | Compile=None | Swap=None | Infer=0.028s | Env=0.176s
